"player","team","pos","min","obpm","dbpm","bpm","role"
"Yuri Berchiche","Athletic Club","DF",21.4,0.053,-0.008,0.046,1
"Mario Hermoso","Atletico Madrid","DF",28.4,0.027,0.017,0.044,1
"Gastón Álvarez","Getafe","DF",28.2,0.045,-0.001,0.044,1
"Kike Salas","Sevilla","DF",17.8,0.049,-0.005,0.044,1
"Andreas Christensen","Barcelona","DF,MF",22,0.026,0.016,0.042,1.33333333333333
"Borja Mayoral","Getafe","FW",23.9,0.019,0.024,0.042,3
"Ander Barrenetxea","Real Sociedad","FW,MF",15.9,0.038,0.003,0.041,2.66666666666667
"Juan Miranda","Real Betis","DF",20.6,0.063,-0.021,0.041,1
"Lucas Vázquez","Real Madrid","DF",15.8,0.07,-0.03,0.04,1
"Javi López","Alaves","DF",26.5,0.045,-0.005,0.04,1
"Isaac Palazón Camacho","Rayo Vallecano","MF,FW",31,0.03,0.009,0.039,2.33333333333333
"Sávio","Girona","FW,MF",33.1,0.059,-0.021,0.038,2.66666666666667
"Stefan Savić","Atletico Madrid","DF",18.1,-0.006,0.044,0.038,1
"Sergi Cardona","Las Palmas","DF",31.3,0.073,-0.035,0.038,1
"Óscar de Marcos","Athletic Club","DF",25.1,0.041,-0.004,0.037,1
"Matija Nastasić","Mallorca","DF",25.1,0.005,0.031,0.037,1
"Federico Valverde","Real Madrid","MF",32.3,0.019,0.016,0.036,2
"Ferrán Torres","Barcelona","FW",13.5,0.044,-0.008,0.036,3
"Eric García","Girona","DF",29.3,0.042,-0.006,0.036,1
"Nahuel Molina","Atletico Madrid","DF",20.6,0.045,-0.009,0.036,1
"Jon Pacheco","Real Sociedad","DF",17,0.008,0.028,0.036,1
"Ricard Sánchez","Granada","DF",25.5,0.081,-0.049,0.032,1
"Sandro Ramírez","Las Palmas","FW",20.1,0.029,0.003,0.031,3
"David García","Osasuna","DF",25.9,0.012,0.017,0.029,1
"Javier Guerra","Valencia","MF",27.8,0.013,0.015,0.028,2
"Thierry Correia","Valencia","DF",23.9,0.027,0.001,0.028,1
"Jesús Areso","Osasuna","DF",29.6,0.03,-0.003,0.028,1
"Álex Suárez","Las Palmas","DF",28.5,0.033,-0.005,0.028,1
"Iván Balliu","Rayo Vallecano","DF",31.9,0.033,-0.005,0.028,1
"José María Giménez","Atletico Madrid","DF",14.7,0.001,0.024,0.026,1
"Léo Baptistão","Almeria","FW",20.4,0.035,-0.01,0.025,3
"Viktor Tsyhankov","Girona","MF,FW",22.8,0.071,-0.046,0.024,2.33333333333333
"Yan Couto","Girona","DF,FW",24.9,0.068,-0.044,0.024,1.66666666666667
"Diego Rico","Getafe","DF",28.2,0.047,-0.023,0.024,1
"Jaime Mata","Getafe","FW,MF",19.9,0.025,-0.001,0.024,2.66666666666667
"Martín Zubimendi","Real Sociedad","MF",29.5,-0.011,0.035,0.023,2
"Víctor Chust","Cadiz","DF",20.7,-0.013,0.035,0.023,1
