"player","team","pos","min","obpm","dbpm","bpm","role"
"Adam Wharton","Crystal Palace","MF",14.4,-0.103,-0.023,-0.126,2
"Harrison Reed","Fulham","MF",14.7,-0.086,-0.04,-0.126,2
"Tommy Doyle","Wolverhampton Wanderers","MF",13.6,-0.079,-0.048,-0.127,2
"George Baldock","Sheffield United","DF",10.8,-0.11,-0.034,-0.144,1
"Andros Townsend","Luton Town","MF,FW",13.4,-0.04,-0.105,-0.145,2.33333333333333
"Christian Eriksen","Manchester United","MF",12.7,-0.077,-0.075,-0.152,2
"Luke Shaw","Manchester United","DF",10.7,-0.126,-0.036,-0.162,1
"Andre Brooks","Sheffield United","MF,DF",10.4,-0.068,-0.102,-0.169,1.66666666666667
"Luke Thomas","Sheffield United","DF",10.2,-0.095,-0.075,-0.17,1
"Jean-Ricner Bellegarde","Wolverhampton Wanderers","MF,FW",10.6,-0.053,-0.119,-0.172,2.33333333333333
"Emil Krafth","Newcastle United","DF",10.1,-0.105,-0.069,-0.174,1
"Marvelous Nakamba","Luton Town","MF",12.6,-0.109,-0.066,-0.175,2
"Oliver Arblaster","Sheffield United","MF",10.5,-0.116,-0.059,-0.176,2
"Jorginho","Arsenal","MF",10.2,-0.169,-0.008,-0.177,2
"Sofyan Amrabat","Manchester United","MF,DF",10.4,-0.143,-0.044,-0.187,1.66666666666667
"Cheick Doucouré","Crystal Palace","MF",10.2,-0.134,-0.072,-0.205,2
"Tariq Lamptey","Brighton & Hove Albion","DF,FW",10.2,-0.115,-0.092,-0.208,1.66666666666667
"Nathan Patterson","Everton","DF",11.2,-0.146,-0.086,-0.232,1
